monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
7,1999,838800,45,30,15,9
8,1999,838800,27,15,12,9
9,1999,838800,37,32,5,9
10,1999,838800,32,21,11,7
11,1999,838800,23,20,3,8
12,1999,838800,23,19,4,9
1,2000,838800,27,26,1,7
2,2000,838800,21,17,4,5
3,2000,838800,22,16,6,12
4,2000,838800,31,25,6,7
5,2000,838800,22,15,7,7
6,2000,838800,31,20,11,6
7,2000,838800,43,31,12,12
8,2000,838800,39,28,11,11
9,2000,838800,45,33,12,1
10,2000,838800,26,20,6,7
11,2000,838800,31,26,5,7
12,2000,838800,30,24,6,4
1,2001,838800,25,22,3,3
2,2001,838800,20,16,4,11
3,2001,838800,19,15,4,10
4,2001,838800,27,22,5,9
5,2001,838800,25,19,6,8
6,2001,838800,39,28,11,8
7,2001,838800,38,30,8,5
8,2001,838800,36,27,9,10
9,2001,838800,18,12,6,5
10,2001,838800,26,19,7,12
11,2001,838800,33,24,9,10
12,2001,838800,19,13,6,6
1,2002,838800,25,21,4,1
2,2002,838800,22,15,7,7
3,2002,838800,19,15,4,7
4,2002,838800,28,21,7,6
5,2002,838800,36,23,13,7
6,2002,838800,38,27,11,6
7,2002,838800,36,29,7,9
8,2002,838800,36,29,7,4
9,2002,838800,35,26,9,4
10,2002,838800,34,26,8,4
11,2002,838800,25,20,5,4
12,2002,838800,29,24,5,1
1,2003,838800,22,21,1,10
2,2003,838800,23,17,6,6
3,2003,838800,29,23,6,9
4,2003,838800,33,29,4,6
5,2003,838800,30,26,4,4
6,2003,838800,32,23,9,6
7,2003,838800,26,24,2,5
8,2003,838800,35,30,5,5
9,2003,838800,28,26,2,6
10,2003,838800,29,23,6,14
11,2003,838800,26,19,7,6
12,2003,838800,25,15,10,6
1,2004,838800,21,15,6,6
2,2004,838800,13,9,4,9
3,2004,838800,23,19,4,13
4,2004,838800,24,21,3,11
5,2004,838800,23,19,4,5
6,2004,838800,19,16,3,4
7,2004,838800,34,24,10,8
8,2004,838800,34,29,5,1
9,2004,838800,33,27,6,3
10,2004,838800,21,13,8,5
11,2004,838800,17,15,2,4
12,2004,838800,19,17,2,8
1,2005,838800,23,20,3,18
2,2005,838800,17,14,3,7
3,2005,838800,18,16,2,5
4,2005,838800,15,14,1,4
5,2005,838800,28,26,2,10
6,2005,838800,13,8,5,6
7,2005,838800,20,16,4,3
8,2005,838800,29,26,3,10
9,2005,838800,14,14,0,5
10,2005,838800,18,16,2,6
11,2005,838800,14,12,2,5
